L,89634.16927050501,43126.0441217647,5.0,89620.30682713378,43144.58305205631,24.557846152382716
L,89620.3068271338,43144.58305205632,24.557846152382716,89613.90990091565,43153.137977480576,18.658306035520273
C,10.0,4.30196
A,89620.05644038519,43157.73403852537,7.67487619301438,-2.499534545237632,-5.912505966178582,18.658306035520273
C,10.0,4.30196
L,89627.21005027153,43160.51425257685,18.658306035520273,89630.66122843737,43151.63422327354,23.940549450413535
L,89630.66122843737,43151.63422327354,23.940549450413535,89634.53540369034,43141.665804339624,17.82878719977175
C,10.0,4.31803
A,89641.06707664492,43144.20430576988,7.007620216374448,-2.770913312588459,0.6133360034170661,17.82878719977175
C,10.0,4.31803
L,89646.79743455138,43148.237882267334,17.82878719977175,89637.68252888047,43161.18710284388,26.578142129363382
L,89637.68252888047,43161.18710284388,26.578142129363382,89632.09451578802,43169.12579324084,21.83315123677563
C,1.0,0.422694
A,89622.48389545438,43162.36091521114,11.752769799247064,0.613336003417275,1.003581738822128,21.83315123677563
C,1.0,0.422694
L,89628.79848140392,43172.273210719235,21.83315123677563,89627.85745228113,43172.87268934375,21.992773397561137
L,89627.85745228111,43172.872689343756,21.992773397561137,89622.81914175916,43176.082323762486,18.72874514573561
C,5.0,2.12217
A,89626.97393066439,43182.60428668,7.732934187255625,-2.1380109147679294,-5.483567781626555,18.72874514573561
C,5.0,2.12217
L,89632.36363908953,43188.14949309965,18.72874514573561,89634.52121596561,43186.05241872823,20.170005353887223
L,89634.52121596561,43186.05241872822,20.170005353887223,89636.3660696171,43184.259298235294,19.02812716842689
C,2.0,0.845681
A,89643.03770164795,43191.12341292365,9.5721859786517,-2.341975128038431,-1.1101731754245672,19.02812716842689
C,2.0,0.845681
L,89647.29259954944,43182.54888155116,19.02812716842689,89648.33133553398,43183.06432844485,19.240621138508878
L,89648.33133553398,43183.06432844486,19.240621138508878,89654.42864009435,43186.08996416204,14.686586223396622
C,2.0,0.846811
A,89656.54235635414,43181.83037279189,4.755198741121328,2.0314194781647745,-1.1722206027770072,14.686586223396622
C,2.0,0.846811
L,89658.38787800522,43177.447911736395,14.686586223396622,89651.37753021643,43174.49574662597,19.20960988944205
C,2.0,0.845814
A,89654.56199933965,43166.93375898591,8.205150861817918,1.9693720508139987,5.829297436476999,19.20960988944205
C,2.0,0.845814
L,89661.9363722069,43163.33610343263,19.20960988944205,89662.62103885986,43164.739513824185,19.686512807058882
L,89662.62103885987,43164.73951382419,19.686512807058882,89663.09379214761,43165.70855017758,19.53295918496202
C,1.5,0.634189
A,89670.65343993437,43162.02050655265,8.411298380101242,2.6877047828871445,0.13340136769624616,19.53295918496202
C,1.0,0.422723
L,89678.99000582381,43163.139260149306,19.53295918496202,89679.44774109323,43159.72837481687,20.66130679336942
C,1.0,0.422703
A,89669.24139747207,43158.35870008674,10.297837587550587,0.13340136769591632,-1.4147710440974337,20.66130679336942
C,2.0,0.845631
L,89670.84160944201,43148.18595313074,20.66130679336942,89668.60739428765,43147.834502549216,21.531088440385776
L,89668.60739428767,43147.834502549216,21.531088440385776,89666.633079606,43147.52393530522,20.825682617199714
C,2.0,0.845504
A,89668.69745059291,43134.40047162191,13.284838223273532,1.7268216094925095,3.2829081823415693,20.825682617199714
C,3.0,1.26859
L,89655.54504139676,43132.529359932145,20.825682617199714,89655.68797726725,43131.52463580601,20.930573982895016
L,89655.68797726724,43131.52463580602,20.930573982895016,89656.2593060211,43127.508654506106,18.83803021582683
C,2.0,0.845864
A,89648.51385031968,43126.40675655803,7.823443174876648,0.14131552875113818,-1.8600933639022763,18.83803021582683
C,2.0,0.845864
L,89646.28198983682,43118.908419282634,18.83803021582683,89640.7596678413,43120.55212398446,24.403302077022097
A,89646.00316807615,43138.1686074369,18.38028247723429,-1.8600933639033885,-2.574342884326001,24.403302077022097
